year,ISO3,ADM0_NAME,ADM0_PCODE,ADM1_NAME,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,THA,Thailand,TH,Ranong,TH85,175548,182303,357851,12535,12057,11791,11712,12544,14515,14120,13614,13442,11838,11357,10084,8512,6031,4350,2978,4068,12692,13159,12820,11382,12962,16107,15099,14891,15318,12995,12297,9763,7824,5426,4155,2648,2765,25227,25216,24611,23094,25506,30622,29219,28505,28760,24833,23654,19847,16336,11457,8505,5626,6833
2022,THA,Thailand,TH,Ratchaburi,TH70,364095,331953,696048,19411,19514,19411,18638,17116,19957,20617,22715,25886,28665,29651,30308,26640,21732,16964,11552,15318,19064,19680,19930,20320,20938,21795,21131,21492,24188,25578,25053,24954,21418,16539,12714,8283,8876,38475,39194,39341,38958,38054,41752,41748,44207,50074,54243,54704,55262,48058,38271,29678,19835,24194
2022,THA,Thailand,TH,Rayong,TH21,623890,643781,1267671,39140,34291,33395,34552,40092,54259,52420,52839,52619,47953,43106,38371,32573,25507,17472,11404,13897,41916,36642,35136,38838,46700,61542,60750,59187,57527,48829,41273,35743,27112,22066,14475,8122,7923,81056,70933,68531,73390,86792,115801,113170,112026,110146,96782,84379,74114,59685,47573,31947,19526,21820
2022,THA,Thailand,TH,Roi Et,TH45,409394,384671,794065,26148,24770,27433,21432,11059,13610,17668,25120,30274,30885,33923,36359,37618,30486,18551,12050,12008,26588,26413,29094,22852,14359,14830,16890,23346,29385,29854,31635,33100,32347,24898,13778,8321,6981,52736,51183,56527,44284,25418,28440,34558,48466,59659,60739,65558,69459,69965,55384,32329,20371,18989
2022,THA,Thailand,TH,Sa Kaeo,TH27,282858,276016,558874,20234,19945,19545,14628,10744,13046,14562,17925,21381,23046,22725,22688,19663,16017,11526,7052,8131,20931,21548,20893,16305,14052,14370,14465,16748,20889,21935,21814,20704,17287,13887,9582,5508,5098,41165,41493,40438,30933,24796,27416,29027,34673,42270,44981,44539,43392,36950,29904,21108,12560,13229
2022,THA,Thailand,TH,Sakon Nakhon,TH47,371664,353819,725483,23166,25458,24754,21716,15332,17434,19929,25307,28938,28936,30495,30166,28367,21980,13149,8063,8474,24283,26401,25958,21986,16757,18634,19779,24479,28701,28220,27685,26880,23713,18381,10219,5929,5814,47449,51859,50712,43702,32089,36068,39708,49786,57639,57156,58180,57046,52080,40361,23368,13992,14288
2022,THA,Thailand,TH,Samut Prakan,TH11,1656432,1587089,3243521,63765,64677,69802,79088,116991,160508,151955,148365,148944,135263,126060,113735,92278,70287,47145,28994,38575,67009,66847,72099,89128,117843,162515,156735,143879,154119,132245,118117,97589,75328,55404,37154,20730,20348,130774,131524,141901,168216,234834,323023,308690,292244,303063,267508,244177,211324,167606,125691,84299,49724,58923
2022,THA,Thailand,TH,Samut Sakhon,TH74,879505,879940,1759445,33189,29744,29610,53357,112817,139998,98336,76217,67500,55756,46531,39957,32448,23536,16992,10247,13270,33793,29822,30163,49991,106551,159097,115530,82960,71950,53988,42901,32042,26374,17682,13005,7122,6969,66982,59566,59773,103348,219368,299095,213866,159177,139450,109744,89432,71999,58822,41218,29997,17369,20239
2022,THA,Thailand,TH,Samut Songkhram,TH75,75540,69357,144897,3115,3268,3379,3205,3274,3837,3984,4326,5019,5503,6136,6822,6452,5412,4240,3099,4469,3534,3727,3751,3758,3724,4515,4346,4293,4945,5213,5311,5566,4792,4263,3249,2091,2279,6649,6995,7130,6963,6998,8352,8330,8619,9964,10716,11447,12388,11244,9675,7489,5190,6748
2022,THA,Thailand,TH,Saraburi,TH19,413155,395542,808697,21774,21942,21908,21971,20623,25117,25722,28778,33240,34295,33831,31940,27145,22950,16901,10963,14055,38218,23397,22277,23007,26539,25907,25640,27728,31243,31481,28938,25482,21346,16737,12212,7769,7621,59992,45339,44185,44978,47162,51024,51362,56506,64483,65776,62769,57422,48491,39687,29113,18732,21676
